source_id,name,type,license_or_terms,coverage_region,update_method,fields,current_status,risk_notes
DS-001,OpenGolfAPI,Open dataset + API,ODbL 1.0,Primarily US; global ambition,"GitHub files/releases; API; community edits","course name; GPS coordinates; scorecards; tee data; contact info; metadata",Candidate baseline for US A/B test,"ODbL obligations; limited Europe/global coverage; deduplication required"
DS-002,OpenStreetMap,Open geodata source,ODbL 1.0,Global,"Overpass API; Geofabrik/planet extracts; community OSM edits","name; geometry; coordinates; address tags; website/contact tags; OSM IDs; leisure=golf_course tags",Primary open global fallback,"Sparse scorecard data; inconsistent tags; ODbL database obligations"
DS-003,OSM-derived golf extracts,Derived dataset/tool,Usually ODbL if OSM-derived; confirm per project,Regional/global depending on extract,"Generate from OSM extracts; refresh periodically","OSM ID; name; geometry; country; region; tags; centroid/bbox",Candidate import artifact,"Staleness; inherited ODbL obligations; prefer reproducible internal scripts"
DS-004,Open Course Data Model,Schema / data model,Open standard; exact license/version to verify,Universal schema only,"Adopt/transform schema; track version in ADR","course; hole; tee set; par; yardage; hazards; metadata",Preferred canonical model candidate,"Not a data source; license/version review required; avoid overfitting MVP"
DS-005,GolfCourse API,Free API service,Free access claimed; redistribution unclear,Claims nearly 30000 courses worldwide,API after signup,"course lookup; location; details depending on docs/tier",Candidate benchmark/enrichment source,"Free API is not open data; do not import until redistribution terms are clear"
DS-006,GolfAPI.io,Commercial API/export,Commercial/proprietary,Claims 42000+ courses in 100+ countries,"Licensed CSV export; REST API","clubs; courses; pars; stroke indexes; tee data; lengths; slope/course ratings; coordinates/POIs",Commercial fallback only,"Likely incompatible with open dataset; vendor lock-in; needs explicit rights"
DS-007,iGolf,Commercial data provider,Commercial/proprietary,Claims 40000+ courses across 175+ countries,"Licensed data feed/API/platform","directory data; GPS/layout data; facility metadata; structured records",Sponsor/paid validation candidate,"Strong coverage but likely not open; keep separate unless terms allow publication"
DS-008,National golf federations and club directories,Regional official/semi-official data,Unknown/case-by-case,Country-specific,"Manual research; permission requests; formal partnership","club/course names; addresses; websites; contacts; federation status; ratings sometimes",Validation/outreach source,"Scraping/copyright risk; not automated MVP import without permission"
DS-009,Municipal/open government portals,Regional open data,Varies by portal,Local/city/regional,"API; CSV; GeoJSON downloads","facility name; address; geometry; ownership/operator; amenities",Supplemental enrichment,"Fragmented coverage; limited scorecard data; license review per source"
DS-010,Direct club/community submissions,User-generated data,Project-defined contribution terms required,Global,"In-app proposals; moderation; club verification; Nostr provenance","course profile; holes; tee sets; par; yardage/meters; local rules; ratings; evidence links",Core long-term enrichment model,"Needs anti-spam; contributor license terms; rollback/history; proof requirements"
